country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",30-03-2025 05:00,22.624758,75.675238,PM10,120,239,174
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",30-03-2025 05:00,22.624758,75.675238,NO2,5,37,14
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",30-03-2025 05:00,23.331731,75.045981,PM2.5,33,93,54
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",30-03-2025 05:00,23.331731,75.045981,SO2,14,16,15
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",30-03-2025 05:00,23.838586,78.759431,PM10,14,129,53
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",30-03-2025 05:00,23.838586,78.759431,SO2,5,26,12
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",30-03-2025 05:00,23.8640158,78.80289321,PM2.5,1,204,66
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",30-03-2025 05:00,23.8640158,78.80289321,PM10,45,128,81
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",30-03-2025 05:00,26.259242,78.216432,SO2,17,19,17
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",30-03-2025 05:00,26.259242,78.216432,CO,39,72,60
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",30-03-2025 05:00,26.200388,78.147714,PM2.5,38,99,61
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",30-03-2025 05:00,26.200388,78.147714,OZONE,45,162,67
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",30-03-2025 05:00,22.431,75.5213,SO2,10,41,19
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",30-03-2025 05:00,22.678,75.8559,PM10,30,102,57
India,Madhya Pradesh,Indore,"Regional Park, Indore - IMC",30-03-2025 05:00,22.678,75.8559,CO,34,48,46
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",30-03-2025 05:00,24.10897,82.64558,PM2.5,44,202,93
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",30-03-2025 05:00,24.10897,82.64558,PM10,118,315,170
